fileid	pos	features	r2_test	mse_test	mae_test	best_alpha
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.7602189173077247	0.00525597596057897	0.05722594298613191	69.79655931186238
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	-0.5696647254532332	0.04506437010540019	0.08582169674927627	43.397879575915184
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.7697126703634845	0.005833110536538411	0.06212858959992853	80.19603920784158
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.8036297263448988	0.0025567111967412038	0.04115696682561167	48.997599519903986
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.7376570730989405	0.0046118893393374515	0.047709582371902044	46.59771954390879
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.44344749130251715	0.007561628794987658	0.062468886801921454	44.99779955991198
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.7628700262724148	0.003521752007183593	0.047430596207705414	45.79775955191039
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.8488183927750368	0.0031682311839393517	0.0447149821332711	59.397079415883184
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.7604723739313405	0.00524086567226336	0.055798565061848174	51.397479495899184
GSM1586782_ScrWT_Exd_16mer	all	('1mer',)	0.724147332228712	0.004573843981909201	0.050095973647173414	55.39727945589118
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8138042677540118	0.004081390748840924	0.0484756285203864	82.59591918383677
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	-1.6570010190843019	0.07628130730902884	0.08423011174349289	36.19823964792959
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8030073193009958	0.004989766841362967	0.05739753213322895	104.99479895979196
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8585985440631068	0.0018410255223472894	0.03636420667599387	60.99699939987998
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8116599761093903	0.00331094631981159	0.041906572783300136	54.59731946389278
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.4593882188032874	0.007345049294941968	0.05861787007124629	56.99719943988798
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7444319538062749	0.0037955863002317666	0.04813692747963942	48.997599519903986
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8573566407504737	0.002989299738583482	0.04321770895629199	66.59671934386878
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.361882374825948	0.01396201687266872	0.05918540693771107	7.399679935987198
GSM1586782_ScrWT_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7699618743477421	0.0038142045357944707	0.04775160585991488	84.19583916783357
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.2785482147934958	0.010011500616284093	0.07666739937509934	1437.728145629126
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.3364929977401765	0.009022990556037587	0.0748219963923136	1541.722944588918
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.3185918567698346	0.009448050742532594	0.07395121237254887	1477.7261452290459
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.2970616280285481	0.010653233402788953	0.0742351682653528	1527.3236647329468
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.291800015697843	0.010624356806491693	0.07747139521639601	1497.725145029006
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.35501527727957016	0.009983805087282532	0.07371116141075629	1464.9267853570716
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.33951227446282517	0.01080031111658256	0.07791875620124682	1580.121024204841
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.25772062571390963	0.015843759921783575	0.08757752067068157	1640.9179835967195
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.29931610908238737	0.012005479283467296	0.08012915151711765	1553.7223444688939
GSM1586783_ScrR5A_Exd_16mer	all	('1mer',)	0.2716609665364291	0.00987006397410035	0.07218741097889278	1546.5227045409083
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.35291443038171455	0.008979529487431649	0.07024375742641671	1047.3476695339068
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.4865693415598308	0.006982111668011742	0.06512240776256055	1290.5355071014203
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.4470794191523235	0.007666509061185197	0.06505464121867614	1101.744948989798
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.40184971705153005	0.009065139745213818	0.06770682563269854	1268.9365873174636
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.43210395785572653	0.008519528825859123	0.06803476629316263	1144.1428285657132
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.474217903317369	0.008138651640493898	0.06746585348832633	1105.74474894979
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.42728993946825367	0.009364968634820678	0.0725174949481703	1184.9407881576317
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.39741127456973135	0.01286209940357445	0.07746785404024419	1201.739947989598
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.411870245872508	0.010076982888705423	0.0726869758737129	1216.1392278455692
GSM1586783_ScrR5A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.34226022876216355	0.008913340246994028	0.0687447092517295	1156.9421884376877
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.7532260824191589	0.00976146318723227	0.07900939050527452	26.59871974394879
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.8053966531421112	0.009454352001813611	0.0725756452361438	22.59891978395679
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.5681306914014057	0.014178571829190488	0.09115478523481452	25.798759751950392
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.8695166331229666	0.005179936442251109	0.05866266297080597	28.19863972794559
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.5952694929445922	0.01103877701734065	0.08173630789229484	12.199439887977597
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.5480641428654857	0.01407419005801043	0.0856560083033088	18.599119823964795
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.4848486814714328	0.02918496410369213	0.10882873564685333	8.199639927985597
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.7316972826094137	0.010494251573763788	0.0776692694902215	28.19863972794559
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.7686828319298649	0.012038382712640261	0.08314671666072024	24.998799759951993
GSM1586784_ScrR3A_Exd_16mer	all	('1mer',)	0.6724477713547445	0.011842007817711468	0.08805238578644653	25.798759751950392
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7444603361687447	0.010108203678167685	0.07907467853199897	47.39767953590719
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8224968724639456	0.008623577529600138	0.07049373538243305	51.397479495899184
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.5724944188835112	0.014035307600137452	0.08988014522078716	40.19803960792159
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.8890894531070143	0.004402933472910698	0.05358574914141903	64.19683936787358
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6377727320668856	0.009879527168350454	0.07546463870983217	39.39807961592319
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.5443743448341121	0.014189097777655629	0.08064125279358168	52.19743948789758
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.5506025148262317	0.025459799871129764	0.09818063024764717	33.79835967193439
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7528598632209996	0.009666509510440834	0.07734933107076236	52.99739947989598
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.7708839982297935	0.011923827954107714	0.07731179456237437	57.79715943188638
GSM1586784_ScrR3A_Exd_16mer	all	('1mer', 'DNaseI', 'twistDisp', 'NPP', 'stiffness', 'trxDi')	0.6739029049504326	0.011789400319092938	0.0885136389055456	51.397479495899184
