tf	cell_line	fold	auc_roc	mcc	features	best_params
ATF2	GM12878	1	0.7006771314250537	0.30702935654289776	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	2	0.7359187442289936	0.3079788117865985	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	3	0.7787780855647892	0.43866400396474775	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	1	0.7006771314250537	0.30702935654289776	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	2	0.7359187442289936	0.3079788117865985	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	3	0.7787780855647892	0.43866400396474775	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	4	0.7324561403508772	0.3421184258620861	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	5	0.7366882117574639	0.38890872965260115	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	6	0.7593105570944906	0.43063716330215923	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	GM12878	7	0.7489996922129886	0.36984672568008214	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	GM12878	8	0.7370729455216991	0.35136418446315326	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	9	0.6950007762769757	0.25999534276005	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	10	0.7882316410495265	0.41860104155335603	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 200}
ATF2	GM12878	1	0.7046014158202523	0.3189464603722503	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	GM12878	2	0.7718528778085564	0.4130601362286017	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	GM12878	3	0.7765466297322253	0.3424347872697743	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	GM12878	4	0.7098337950138504	0.34222378222022665	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	GM12878	5	0.7717759310557094	0.44194173824159216	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	6	0.7470760233918129	0.43023857887740874	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	7	0.7132963988919667	0.33462322799626476	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300}
ATF2	GM12878	8	0.7825484764542936	0.4216370213557839	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	GM12878	9	0.7169694146871605	0.31275721013116314	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	GM12878	10	0.7727061015370285	0.4147419527016208	1mer_DNaseI_NPP_twistDisp_trx_stiffness	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF2	H1	1	0.7026239067055393	0.26731773937461606	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 10, 'classifier__n_estimators': 200}
ATF2	H1	2	0.6301541024573094	0.1861714808514273	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	H1	3	0.6684714702207415	0.26731773937461606	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
ATF2	H1	4	0.5935027072053312	0.24743582965269675	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 7, 'classifier__n_estimators': 200}
ATF2	H1	5	0.6122448979591837	0.1850661272593496	1mer	{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 100}
ATF2	H1	6	0.709704289879217	0.26619455062804553	1mer	{'classifier__learning_rate': 0.3, 'classifier__max_depth': 3, 'classifier__n_estimators': 50}
ATF2	H1	7	0.6934610578925448	0.3071475584169756	1mer	{'classifier__learning_rate': 0.01, 'classifier__max_depth': 7, 'classifier__n_estimators': 300}
ATF2	H1	8	0.7105372761349439	0.22524154283911546	1mer	{'classifier__learning_rate': 0.2, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}
